film_id,film_title,year,lead_gender,reciprocity
raya_and_the_last_dragon_2021,Raya (2021),2021,F,0.9565
onward_2020,Onward (2020),2020,M,0.9268
toy_story_1995,Toy Story (1995),1995,M,0.9167
frozen_2013,Frozen (2013),2013,F,0.8889
incredibles_2_2018,Incredibles 2 (2018),2018,M,0.8636
inside_out_2015,Inside Out (2015),2015,F,0.8462
up,Up (2009),2009,M,0.8
monsters_inc_2001,Monsters Inc (2001),2001,M,0.8
zootopia_2016,Zootopia (2016),2016,F,0.7755
elemental_2023,Elemental (2023),2023,F,0.7619
coco_2017,Coco (2017),2017,M,0.7027
encanto_2021,Encanto (2021),2021,F,0.6957
beautyandthebeast_1991,Beauty & the Beast (1991),1991,F,0.6429
toy_story_3_2010,Toy Story 3 (2010),2010,M,0.6275
findingnemo,Finding Nemo (2003),2003,M,0.6275
cars2,Cars 2 (2011),2011,M,0.619
mulan_1998,Mulan (1998),1998,F,0.5833
