,protag_samesex_z
protag_samesex_p,-0.9215686274509803
protag_betweenness,0.4117647058823529
protag_betw_p,-0.2696078431372549
keystone_changes_at_rung2_y,-0.2683725200608466
keystone_changes_at_rung2_x,-0.2683725200608466
protag_betw_z,0.23774509803921567
alter_importance_ratio,0.20270331454950066
female_alter_betw_z,0.19852941176470587
homophily_p,-0.1824942204968878
mean_clustering,0.17401960784313725
homophily_z,0.14705882352941177
n_nodes,-0.11699649345049909
density,0.11519607843137254
protag_samesex,0.09693258830413247
ego_density,-0.09085343829132085
leading_eigenvalue,0.056372549019607844
homophily_obs,-0.0392397376022995
avg_path_len,0.0392156862745098
keystone_changes_at_rung3_x,-0.037267799624996496
keystone_changes_at_rung3_y,-0.037267799624996496
reciprocity,0.03558284887113724
n_samegender_alters,0.027161239001689822
burt_constraint,-0.02696078431372549
n_edges,0.008594244162692513
