film_id,year,protagonist,lead_gender,n_nodes,n_edges,density,reciprocity,avg_path_len,leading_eigenvalue,mean_clustering,homophily_obs,homophily_z,homophily_p,protag_samesex,protag_samesex_z,protag_samesex_p,protag_betweenness,protag_betw_z,protag_betw_p,keystone,keystone_gender,keystone_diff_gender,components_after_removal,n_isolated_after_removal,keystone_rung1,keystone_rung1_gender,keystone_rung2,keystone_rung2_gender,keystone_rung3,keystone_rung3_gender,keystone_changes_at_rung2,keystone_changes_at_rung3,film_title,row_label
beautyandthebeast_1991,1991,Belle,F,12,28,0.2121,0.6429,2.0606,61.4934,0.321,0.5714,1.156,0.2859,0.2857,1.528,0.0735,0.5909,1.481,0.0675,Beast,M,1,1,0,Gaston,M,Beast,M,Beast,M,1.0,0.0,Beauty & the Beast (1991),Beauty & the Beast (1991)
mulan_1998,1998,Mulan,F,13,24,0.1538,0.5833,2.141,34.2453,0.2756,0.5,0.467,0.5622,0.1111,-0.656,0.7201,0.5,-0.306,0.6632,Shang,M,1,1,0,Mushu,M,Shang,M,Shang,M,1.0,0.0,Mulan (1998),Mulan (1998)
frozen_2013,2013,Anna,F,11,27,0.2455,0.8889,2.1455,141.8034,0.3307,0.3704,0.756,0.6127,0.2857,1.837,0.0175,0.7333,2.632,0.0015,Elsa,F,0,2,0,Elsa,F,Elsa,F,Elsa,F,0.0,0.0,Frozen (2013),Frozen (2013)
inside_out_2015,2015,Joy,F,11,26,0.2364,0.8462,2.2,97.4212,0.6385,0.3846,-0.851,0.918,0.4286,-0.805,0.8586,0.4,0.017,0.5352,Anger,M,1,2,0,Fear,M,Anger,M,Anger,M,1.0,0.0,Inside Out (2015),Inside Out (2015)
zootopia_2016,2016,Hopps,F,24,49,0.0888,0.7755,2.3659,198.9186,0.2649,0.3469,-1.772,0.984,0.25,-1.239,0.93,0.6344,1.188,0.1074,Bogo,M,1,3,2,Bonnie Hopps,F,Bogo,M,Bogo,M,1.0,0.0,Zootopia (2016),Zootopia (2016)
encanto_2021,2021,Mirabel,F,13,23,0.1474,0.6957,1.8077,55.5108,0.465,0.6818,1.187,0.4153,0.6364,0.383,0.8721,0.75,0.894,0.3858,Isabela,F,0,1,0,Luisa,F,Isabela,F,Isabela,F,1.0,0.0,Encanto (2021),Encanto (2021)
raya_and_the_last_dragon_2021,2021,Raya,F,9,23,0.3194,0.9565,1.8611,120.9406,0.3333,0.5217,1.127,0.3813,0.4,-1.374,0.9405,0.7321,3.009,0.0015,Sisu,F,0,3,2,Namaari,F,Sisu,F,Sisu,F,1.0,0.0,Raya (2021),Raya (2021)
elemental_2023,2023,Ember,F,10,21,0.2333,0.7619,1.8,157.293,0.411,0.45,0.926,0.5387,0.4286,1.562,0.2909,0.6667,2.276,0.008,Wade,M,1,2,1,Bernie,M,Wade,M,Wade,M,1.0,0.0,Elemental (2023),Elemental (2023)
toy_story_1995,1995,Woody,M,12,24,0.1818,0.9167,2.0758,103.6528,0.338,0.75,-0.257,1.0,0.8889,4.191,0.0065,0.9455,1.472,0.0445,Andy,M,0,2,1,Andy,M,Andy,M,Andy,M,0.0,0.0,Toy Story (1995),Toy Story (1995)
monsters_inc_2001,2001,Sulley,M,14,30,0.1648,0.8,1.7556,117.6795,0.4345,0.6667,-0.578,1.0,0.625,-1.489,0.992,0.25,-2.414,0.994,Mike,M,0,3,0,Mike,M,Mike,M,Mike,M,0.0,0.0,Monsters Inc (2001),Monsters Inc (2001)
findingnemo,2003,Marlin,M,22,51,0.1104,0.6275,2.4935,122.0183,0.3679,0.6275,-0.447,0.8326,0.7778,0.673,0.2174,0.3476,-0.508,0.6932,Nemo,M,0,4,2,Nemo,M,Nemo,M,Nemo,M,0.0,0.0,Finding Nemo (2003),Finding Nemo (2003)
up,2009,Carl,M,9,20,0.2778,0.8,2.0556,130.1543,0.2741,0.85,1.0,1.0,0.8,-1.189,1.0,0.625,2.174,0.0105,Dug,M,0,1,0,Muntz,M,Alpha,M,Dug,M,1.0,1.0,Up (2009),Up (2009)
toy_story_3_2010,2010,Woody,M,23,51,0.1008,0.6275,2.4941,34.3716,0.3785,0.5686,-0.83,0.92,0.6667,0.325,0.4433,0.5606,1.087,0.1439,Buzz,M,0,1,0,Jessie,F,Buzz,M,Buzz,M,1.0,0.0,Toy Story 3 (2010),Toy Story 3 (2010)
cars2,2011,Mater,M,21,42,0.1,0.619,2.2924,97.9241,0.3153,0.8571,-0.234,1.0,0.9091,0.442,0.4953,0.3605,-0.331,0.6407,Mcqueen,M,0,5,3,Mcqueen,M,Mcqueen,M,Mcqueen,M,0.0,0.0,Cars 2 (2011),Cars 2 (2011)
coco_2017,2017,Miguel,M,19,37,0.1082,0.7027,2.0819,109.4078,0.2732,0.5135,0.483,0.5297,0.5333,-1.186,0.961,0.5098,1.853,0.0205,Héctor,M,0,3,2,Héctor,M,Héctor,M,Héctor,M,0.0,0.0,Coco (2017),Coco (2017)
incredibles_2_2018,2018,Bob,M,14,44,0.2418,0.8636,1.8571,101.8383,0.5302,0.5,0.759,0.3703,0.6,0.647,0.2174,0.7115,2.043,0.018,Elastigirl,F,1,4,3,Violet,F,Elastigirl,F,Elastigirl,F,1.0,0.0,Incredibles 2 (2018),Incredibles 2 (2018)
onward_2020,2020,Ian,M,14,41,0.2253,0.9268,2.0549,225.5518,0.3532,0.4146,-0.633,0.8651,0.5,0.955,0.2809,0.641,2.354,0.0115,Laurel,F,1,1,0,Colt,M,Colt,M,Laurel,F,0.0,1.0,Onward (2020),Onward (2020)
