character_id,gender,out_degree,in_degree,weighted_out_degree,weighted_in_degree,degree_centrality_norm,betweenness,closeness,clustering_coefficient,relative_centrality,top3_alters
frozen_2013_anna,F,10,9,288.0,299.5,0.95,0.14444444444444446,1.0,0.052210391247458444,4.372462787550745,frozen_2013_kristoff(M); frozen_2013_elsa(F); frozen_2013_hans(M)
frozen_2013_bulda,F,6,5,8.0,5.25,0.55,0.37222222222222223,0.7142857142857143,0.01709443343955954,0.0986129905277402,frozen_2013_anna(F); frozen_2013_kristoff(M); frozen_2013_grand_pabbie(M)
frozen_2013_duke,M,4,4,27.0,26.5,0.4,0.0,0.625,0.08508727944740929,0.3981732070365359,frozen_2013_anna(F); frozen_2013_hans(M); frozen_2013_elsa(F)
frozen_2013_elsa,F,7,9,89.0,109.33333333333333,0.8,0.18888888888888888,0.7692307692307693,0.03528411003270556,1.4760938204781235,frozen_2013_anna(F); frozen_2013_hans(M); frozen_2013_duke(M)
frozen_2013_grand_pabbie,M,6,6,8.0,10.75,0.6,0.16111111111111112,0.7142857142857143,0.016804426715093693,0.13954668470906634,frozen_2013_king(M); frozen_2013_kristoff(M); frozen_2013_anna(F)
frozen_2013_hans,M,4,5,82.0,74.75,0.45,0.0,0.625,0.08186656246840705,1.1666102841677946,frozen_2013_anna(F); frozen_2013_elsa(F); frozen_2013_duke(M)
frozen_2013_kai,M,5,5,12.0,11.0,0.5,0.32222222222222224,0.6666666666666666,0.03594184245339545,0.17117726657645468,frozen_2013_anna(F); frozen_2013_duke(M); frozen_2013_elsa(F)
frozen_2013_king,M,4,5,9.0,8.25,0.45,0.35555555555555557,0.625,0.017084964234480134,0.128382949932341,frozen_2013_elsa(F); frozen_2013_grand_pabbie(M); frozen_2013_bulda(F)
frozen_2013_kristoff,M,8,7,132.0,142.08333333333334,0.75,0.18888888888888888,0.8333333333333334,0.041383696392757234,2.039862426702752,frozen_2013_anna(F); frozen_2013_olaf(M); frozen_2013_oaken(M)
frozen_2013_oaken,M,2,2,13.0,6.0,0.2,0.0,0.5555555555555556,0.14826401010224838,0.14140730717185387,frozen_2013_kristoff(M); frozen_2013_anna(F)
frozen_2013_olaf,M,6,5,71.0,45.583333333333336,0.55,0.06666666666666667,0.7142857142857143,0.059786686905610446,0.8676702751465947,frozen_2013_anna(F); frozen_2013_kristoff(M); frozen_2013_elsa(F)
